app,func,end_timestamp,duration
7b2c43a2bc30f6bb438074df88b603d2cb982d3e7961de05270735055950a568,e3cdb48830f66eb8689cc0223514569a69812b77e6611e3d59814fac0747bd2f,0.07949090003967285,0.078
1573b95c039e51cc012b543a4af3bc7c3ee9485acbb0033ba5648b74969e0556,337cd24a7d5fd5c92460faee4ebe6a186a0eb322bd17b73da7ffa153025794e1,57.15786004066467,57.154
1573b95c039e51cc012b543a4af3bc7c3ee9485acbb0033ba5648b74969e0556,48cc770d590d3c5a7691b3b4e9302f82ec3be5ddc2a037d94ad2e76f44dd8946,59.13047790527344,59.125
f274d71de386ccc77e4ca74766dbc485461c3053059d47266463c45ec92001b3,3d2aee54a133509f16fb636d74128c2adcfcac71c6dcef78fda1ace004f2ab47,6.2525410652160645,6.236
7b2c43a2bc30f6bb438074df88b603d2cb982d3e7961de05270735055950a568,68bbfd828223a505d7917339f4656c5f33ff93225cdb9d0fcbc9889edb49253a,0.06682395935058594,0.05
f7bfe5bc8d2a37a5c15986fbfc2c477a746e866adcb9663f9df7535b61c3eb9b,34f4775366e51728635af48df1a96d332cf1565eee069a0030f12966ae760274,0.0999910831451416,0.078
85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,49535532e285d1ef68b0a7b8c3bc3973b36ec38a4c594ec9f1412084c27036ff,2.251979112625122,2.229
85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,e6df36937abcf1f6d0be4f2e3ffd12d98717dd6f29a9cd233790506517888daf,1.29801607131958,1.275
85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,62.329188108444214,62.306
85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,e02465de583b6ceffa5b78cce5f10eb27e714a8a6b3aed483be50f30a924071f,2.2182869911193848,2.195
85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,4a4146ed669e9c0bdb2c7db94558df4ec44bf31ec5609d066408de4a4215efbd,1.4213778972625732,1.398
85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,514a9bcff07d21b5580057748e55e78bb062e3001a01b75b497939d5378cc78c,1.1266310214996338,1.103
